motor/temperature,motor/rpm,motor/current,motor/vibration/rmsX,motor/vibration/rmsY,motor/vibration/rmsZ,motor/vibration/crestX,motor/vibration/crestY,motor/vibration/crestZ
25.01,160,3.67,0.0079,0.0109,1.026,15.1378,2.2665,1.0062

25.01,140,3.67,0.0079,0.0109,1.026,15.1378,2.2665,1.0062

25.06,140,3.67,0.0079,0.0109,1.026,15.1378,2.2665,1.0062

25.06,140,3.67,0.0079,0.0109,1.026,15.1378,2.2665,1.0062

25.06,140,3.67,0.0083,0.0109,1.026,15.1378,2.2665,1.0062

25.06,140,3.67,0.0083,0.0095,1.026,15.1378,2.2665,1.0062

25.06,140,3.67,0.0083,0.0095,1.026,15.1378,2.2665,1.0062

25.06,140,3.67,0.0083,0.0095,1.026,14.0928,2.2665,1.0062

25.06,140,3.67,0.0083,0.0095,1.026,14.0928,15.0758,1.0062

25.06,140,3.67,0.0083,0.0095,1.026,14.0928,15.0758,1.0263

25.06,600,3.67,0.0083,0.0095,1.026,14.0928,15.0758,1.0263

25.12,600,3.67,0.0083,0.0095,1.026,14.0928,15.0758,1.0263

25.12,600,3.67,0.0083,0.0095,1.026,14.0928,15.0758,1.0263

25.12,600,3.67,0.0068,0.0095,1.026,14.0928,15.0758,1.0263

25.12,600,3.67,0.0068,0.0102,1.026,14.0928,15.0758,1.0263

25.12,600,3.67,0.0068,0.0102,1.0256,14.0928,15.0758,1.0263

25.12,600,3.67,0.0068,0.0102,1.0256,1.3925,15.0758,1.0263

25.12,600,3.67,0.0068,0.0102,1.0256,1.3925,1.6334,1.0263

25.12,600,3.67,0.0068,0.0102,1.0256,1.3925,1.6334,1.032

25.12,620,3.67,0.0068,0.0102,1.0256,1.3925,1.6334,1.032

25.14,620,3.67,0.0068,0.0102,1.0256,1.3925,1.6334,1.032

25.14,620,3.65,0.0068,0.0102,1.0256,1.3925,1.6334,1.032

25.14,620,3.65,0.0068,0.0102,1.0256,1.3925,1.6334,1.032

25.14,620,3.65,0.0068,0.0103,1.0256,1.3925,1.6334,1.032

25.14,620,3.65,0.0068,0.0103,1.0258,1.3925,1.6334,1.032

25.14,620,3.65,0.0068,0.0103,1.0258,1.515,1.6334,1.032

25.14,620,3.65,0.0068,0.0103,1.0258,1.515,1.9057,1.032

25.14,620,3.65,0.0068,0.0103,1.0258,1.515,1.9057,1.0354

25.14,600,3.65,0.0068,0.0103,1.0258,1.515,1.9057,1.0354

25.14,600,3.65,0.0068,0.0103,1.0258,1.515,1.9057,1.0354

25.14,600,3.67,0.0068,0.0103,1.0258,1.515,1.9057,1.0354

25.14,600,3.67,0.0069,0.0103,1.0258,1.515,1.9057,1.0354

